Address,Beds,Baths,Square Feet,Property Type,Listing Price
"['7617', 'Canfield', 'Court', 'Orlando', 'FL', '32818']",4 beds,2 baths,"1,731 sq. ft",Residental,"$310,000"
"['911', 'N', 'Orange', 'Avenue', 'Unit', '449', 'Orlando', 'FL', '32801']",2 beds,2 baths,"1,085 sq. ft",Residental,"$279,000"
"['Ortega', 'Street', 'Orlando', 'FL', '32833']",NaN,NaN,NaN,Residental,"$150,000"
"['1017', 'S', 'Hiawassee', 'Rd', '#3735', 'Orlando', 'FL', '32835']",1 bed,1 bath,673 sq. ft,Residental,"$150,000"
"['19326', 'Majestic', 'St', 'Street', 'Orlando', 'FL', '32833']",4 beds,2 baths,"3,202 sq. ft",Residental,"$660,000"
"['8640', 'Tansy', 'Drive', 'N', 'Orlando', 'FL', '32819']",4 beds,3 baths,"2,940 sq. ft",Residental,"$599,000"
"['2227', 'Bastings', 'Avenue', 'Orlando', 'FL', '32833']",4 beds,2 baths,"2,434 sq. ft",Residental,"$545,000"
"['4134', 'Edgewater', 'Drive', 'Orlando', 'FL', '32804']",3 beds,2 baths,"2,032 sq. ft",Residental,"$540,000"
"['11817', 'Ginsberg', 'Place', 'Orlando', 'FL', '32832']",4 beds,3 baths,"2,470 sq. ft",Residental,"$530,000"
"['2420', 'E', 'Illiana', 'Street', 'Orlando', 'FL', '32806']",4 beds,NaN,"1,781 sq. ft",Residental,"$475,000"
"['221', 'Mc', 'Jordan', 'Avenue', 'Orlando', 'FL', '32801']",3 beds,2 baths,"1,453 sq. ft",Residental,"$450,000"
"['Orlando', 'FL', '32828']",4 beds,2 baths,"1,862 sq. ft",Residental,"$420,000"
"['6070', 'Wedgewood', 'Circle', 'Orlando', 'FL', '32808']",4 beds,2 baths,"1,525 sq. ft",Residental,"$360,000"
"['5270', 'San', 'Paulo', 'Street', 'Orlando', 'FL', '32807']",3 beds,2 baths,"1,283 sq. ft",Residental,"$349,999"
"['1410', 'Altaloma', 'Avenue', 'Orlando', 'FL', '32803']",2 beds,1 bath,"1,260 sq. ft",Residental,"$315,000"
"['8125', 'Resort', 'Village', 'Drive', '51003', 'Orlando', 'FL', '32821']",2 beds,2 baths,"1,060 sq. ft",Residental,"$264,000"
"['3415', 'Cherry', 'Lane', 'Orlando', 'FL', '32808']",2 beds,2 baths,"1,158 sq. ft",Residental,"$255,000"
"['4431', 'Baybreeze', 'Road', 'Orlando', 'FL', '32808']",4 beds,2 baths,"1,549 sq. ft",Residental,"$399,000"
"['6417', 'Swallow', 'Hill', 'Drive', 'Orlando', 'FL', '32818']",3 beds,2 baths,"1,155 sq. ft",Residental,"$310,000"
"['811', '-', '815', '18th', 'Street', 'Orlando', 'FL', '32805']",4 beds,NaN,"1,552 sq. ft",Residental,"$299,990"
