Address,Beds,Baths,Square Feet,Property Type,Listing Price
"['2158','Glossy','Privet','Drive','Orlando','FL','32828']",3,3,1376,Residential,350000
"['2227','Fleet','Circle','Orlando','FL','32817']",3,1,1360,Residential,329700
"['5067','Stone','Harbour','Road','Orlando','FL','32808']",3,2,1418,Residential,320000
"['7024','Watseka','Avenue','Orlando','FL','32818']",4,2,1300,Residential,298000
"['1122','N','Powers','Drive','Orlando','FL','32818']",4,2,2930,Residential,264900
"['2071','Dixie','Belle','Drive','2071p','Orlando','FL','32812']",2,1,845,Residential,179900
"['5423','Timberchase','Court','Orlando','FL','32811']",3,2,1100,Residential,325000
"['1522','W','Washington','Street','Orlando','FL','32805']",4,3,2068,Residential,310000
"['448','Delicata','Drive','Orlando','FL','32807']",3,2,1303,Residential,300000
"['805','Park','Villa','Circle','Orlando','FL','32824']",2,2,990,Residential,220000
"['911','N','Orange','Avenue','125','Orlando','FL','32801']",1,1,763,Residential,199900
"['120','W','America','Street','8','Orlando','FL','32801']",1,1,636,Residential,152500
"['3826','Hunters','Isle','Drive','Orlando','FL','32837']",6,5,4415,Residential,1250000
"['14691','Tanja','King','Boulevard','Orlando','FL','32828']",4,2,2988,Residential,679900
"['1329','Radclyffe','Road','Orlando','FL','32804']",4,3,2428,Residential,678500
"['8765','Ribault','Avenue','Orlando','FL','32832']",4,3,2658,Residential,550000
"['4140','Teriwood','Avenue','Orlando','FL','32812']",3,2,2012,Residential,520000
"['4739','Creekside','Park','Avenue','Orlando','FL','32811']",3,2,2081,Residential,440000
"['10113','Winding','Creek','Lane','Orlando','FL','32825']",3,2,1819,Residential,424000
"['415','Sunset','Drive','Orlando','FL','32805']",2,1,1140,Residential,228500
"['2800','N','Powers','Drive','9','Orlando','FL','32818']",2,1,832,Residential,107500
"['1113','Cherry','Valley','Way','Orlando','FL','32828']",4,2,1942,Residential,419900
"['5865','Manchester','Bridge','Drive','Orlando','FL','32829']",3,2,1717,Residential,409000
"['6240','Dell','Street','Orlando','FL','32809']",3,2,1096,Residential,269000
"['13917','Fairway','Island','Drive','924','Orlando','FL','32837']",2,2,1020,Residential,239900
"['9672','Bryanston','Drive','Orlando','FL','32827']",5,5,5107,Residential,2999000
"['6977','Dolce','Street','Orlando','FL','32819']",4,3,2988,Residential,699000
