Title,Beds,Baths,Square Feet,Property Title,Listing Price
"['4600', 'ARCIE', 'STREET,', 'Orlando,', 'FL', '32812']",3 BedsBds,2 BathsBa,"1,792 SqftSqft",Residential,"$399,000 USD"
"['5978', 'BRAEMAR', 'PLACE,', 'Orlando,', 'FL', '32822']",2 BedsBds,3 BathsBa,"1,260 SqftSqft",Residential,"$265,000 USD"
"['10262', 'CHILTERN', 'GARDEN', 'DRIVE,', 'Orlando,', 'FL', '32827']",3 BedsBds,4 BathsBa,"2,486 SqftSqft",Residential,"$1,650,000 USD"
"['10340', 'MARCONI', 'AVENUE,', 'Orlando,', 'FL', '32832']",4 BedsBds,4 BathsBa,"2,247 SqftSqft",Residential,"$659,554 USD             96K"
"['1819', 'COMMON', 'WAY', 'ROAD,', 'Orlando,', 'FL', '32814']",3 BedsBds,2 BathsBa,"1,801 SqftSqft",Residential,"$570,000 USD"
"['9224', 'SWEET', 'MAPLE', 'AVE,', 'Orlando,', 'FL', '32832']",3 BedsBds,3 BathsBa,"1,519 SqftSqft",Residential,"$350,000 USD"
"['12959', 'GABOR', 'AVENUE,', 'Orlando,', 'FL', '32832']",3 BedsBds,4 BathsBa,"2,241 SqftSqft",Residential,"$669,000 USD"
"['1417', '22ND', 'STREET,', 'Orlando,', 'FL', '32805']",2 BedsBds,1 BathBa,"1,058 SqftSqft",Residential,"$119,900 USD             40K"
"['4020', 'Ibis', 'Dr.', 'Orlando,', 'Orlando,', 'FL', '32803']",4 BedsBds,3 BathsBa,NaN,Single-Family Home,"$530,000 USD"
"['3277', 'WESTRIDGE', 'BOULEVARD,', 'Orlando,', 'FL', '32822']",2 BedsBds,2 BathsBa,934 SqftSqft,Residential,"$230,000 USD"
"['3314', 'ROBERT', 'TRENT', 'JONES', 'DRIVE,', 'Orlando,', 'FL', '32835']",3 BedsBds,2 BathsBa,"1,391 SqftSqft",Residential,"$265,000 USD"
"['7395', 'UNIVERSAL', 'BOULEVARD,', 'Orlando,', 'FL', '32819']",2 BedsBds,2 BathsBa,"1,056 SqftSqft",Residential,"$299,900 USD"
"['3338', 'ROBERT', 'TRENT', 'JONES', 'DRIVE,', 'Orlando,', 'FL', '32835']",3 BedsBds,2 BathsBa,"1,247 SqftSqft",Residential,"$265,000 USD             55K"
"['155', 'S', 'COURT', 'AVENUE,', 'Orlando,', 'FL', '32801']",1 BedBd,1 BathBa,804 SqftSqft,Residential,"$298,925 USD"
"['568', 'S', 'OSCEOLA', 'AVENUE,', 'Orlando,', 'FL', '32801']",2 BedsBds,3 BathsBa,"1,657 SqftSqft",Residential,"$375,000 USD"
"['10514', 'GREEN', 'IVY', 'LANE,', 'Orlando,', 'FL', '32832']",3 BedsBds,2 BathsBa,"2,274 SqftSqft",Residential,"$455,000 USD"
"['7027', 'ARDIS', 'STREET,', 'Orlando,', 'FL', '32835']",4 BedsBds,5 BathsBa,"3,562 SqftSqft",Residential,"$499,000 USD"
"['5198', 'ADAIR', 'OAK', 'DRIVE,', 'Orlando,', 'FL', '32829']",5 BedsBds,3 BathsBa,"3,292 SqftSqft",Residential,"$589,000 USD"
"['2042', 'GATLIN', 'AVENUE,', 'Orlando,', 'FL', '32806']",2 BedsBds,3 BathsBa,"2,975 SqftSqft",Residential,"$1,050,000 USD"
"['552', 'Buckminster', 'Circle', ',', 'Orlando,', 'FL', '32803']",3 BedsBds,2 BathsBa,"1,341 SqftSqft",Single-Family Home,"$504,900 USD"
"['13563', 'GRANGER', 'AVENUE,', 'Orlando,', 'FL', '32832']",3 BedsBds,4 BathsBa,"2,584 SqftSqft",Residential,"$734,900 USD"
"['2732', 'WALNUT', 'STREET,', 'Orlando,', 'FL', '32806']",3 BedsBds,2 BathsBa,"1,340 SqftSqft",Residential,"$499,900 USD"
"['14169', 'WALCOTT', 'AVENUE,', 'Orlando,', 'FL', '32832']",3 BedsBds,3 BathsBa,"1,691 SqftSqft",Residential,"$479,900 USD"
"['9922', 'RODBELL', 'STREET,', 'Orlando,', 'FL', '32832']",4 BedsBds,4 BathsBa,"2,328 SqftSqft",Residential,"$724,564 USD"
"['2314', 'W', 'SOUTH', 'STREET,', 'Orlando,', 'FL', '32805']",NaN,NaN,NaN,Lots And Land,"$275,000 USD"
