Beds,Baths,Square Feet,lotSize,Property Type,Listing Price,Address,city
1,1,674,9384,Condominium,175000,2564 Robert Trent Jones Dr #1325,Orlando
2,2,820,213111,Condominium,188500,3799 Atrium Dr #L2,Orlando
2,2,950,2639,Townhouse,310000,4582 Summergrove Ave,Orlando
3,2,2045,10585,Residential - Single Family,629000,3215 Helen Ave,Orlando
4,2,1162,5400,Residential - Single Family,300000,5430 Timberchase Ct,Orlando
4,2,1248,6745,Residential - Single Family,260000,4714 Kirkland Blvd,Orlando
3,2,1391,16328,Condominium,265000,3314 Robert Trent Jones Dr #10401,Orlando
3,2,1107,3481,Residential - Single Family,299999,5235 Florida Holly Dr,Orlando
4,3,1222,7713,Residential - Single Family,350000,4401 Georgetown Dr,Orlando
4,3,2578,6598,Residential - Single Family,350000,1023 W Gore St W,Orlando
1,1,816,22639,Condominium,179000,6413 Astor Village Ave #109,Orlando
2,2,934,102262,Condominium,230000,3277 Westridge Blvd #203,Orlando
2,3,2337,1067,Townhouse,628000,1347 Chatfield Pl,Orlando
1,1,529,15731,Condominium,133500,4846 S Semoran Blvd #1302,Orlando
3,2,1407,9928,Residential - Single Family,375000,918 S Oxalis Ave,Orlando
3,2,1468,10204,Residential - Single Family,364900,735 Humber Ln,Orlando
3,2,1020,4945,Residential - Single Family,275000,4555 Watch Hill Rd,Orlando
3,3,1581,1087,Condominium,369500,2908 C Oak Park Way #5,Orlando
NaN,NaN,5497,NaN,Land,499000,1206 E Jackson St,Orlando
3,3,2000,5750,Residential - Single Family,429000,4720 S Hampton Dr,Orlando
3,4,2236,1316,Townhouse,730000,1236 Lake Baldwin Ln,Orlando
4,3,2627,13303,Residential - Single Family,850000,513 S Osceola Ave,Orlando
3,1,1143,7919,Residential - Single Family,385000,2421 E Marks St,Orlando
5,3,3026,6137,Residential - Single Family,555000,5713 Lake Champlain Dr,Orlando
4,2,2439,11054,Residential - Single Family,700000,9844 Cypress Pine St,Orlando
3,2,1979,9787,Residential - Single Family,671000,1015 N Hampton Ave,Orlando
3,2,1247,16332,Condominium,265000,3338 Robert Trent Jones Dr #40304,Orlando
5,5,3333,7337,Residential - Single Family,1100000,13615 Ritta Island Dr,Orlando
3,2,1561,8166,Residential - Single Family,424900,317 E Jersey St,Orlando
3,3,2012,5740,Residential - Single Family,510000,1817 Westpointe Cir,Orlando
2,3,1546,959,Condominium,310000,6206 Castelven Dr #106,Orlando
3,3,1787,423307,Condominium,314950,2210 Mcmahon Ct #1034,Orlando
4,2,1972,5500,Residential - Single Family,465000,10025 Savannah Bluff Ln,Orlando
3,4,1880,2259,Townhouse,635000,1030 E Marks St,Orlando
1,1,794,4450,Condominium,185000,6424 Raleigh St #3104,Orlando
2,2,1447,16328,Condominium,265000,3314 Robert Trent Jones Dr #20401,Orlando
4,3,1861,2100,Townhouse,535000,14475 Sapelo Beach Dr,Orlando
3,2,1391,16332,Condominium,265000,3338 Robert Trent Jones Dr #10904,Orlando
5,3,2813,5001,Residential - Single Family,380000,4758 Wyresdale St,Orlando
3,2,2010,20395,Condominium,450000,6312 Buford St #409,Orlando
2,2,820,213111,Condominium,205000,3717 Atrium Dr #L-3,Orlando
2,2,820,261435,Condominium,199999,3603 Atrium Dr #L-2,Orlando
